21:/04:/33:/601288, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/04:/33:/961112, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/04:/34:/381158, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/04:/34:/741192, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/04:/35:/161138, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/04:/35:/581121, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/04:/35:/941127, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/04:/36:/361107, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/04:/36:/781115, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/04:/37:/201136, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/04:/37:/561126, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/04:/37:/981118, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/04:/38:/401114, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/04:/38:/761223, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/04:/39:/181145, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/04:/39:/601114, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/04:/39:/961157, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/04:/40:/381144, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/04:/40:/801129, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/04:/41:/221115, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/04:/41:/581116, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/05:/56:/181133, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/05:/56:/421172, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/05:/56:/841185, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/05:/57:/201256, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/05:/57:/621205, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/05:/58:/041164, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/05:/58:/461202, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/05:/58:/821154, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/05:/59:/241158, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/05:/59:/661153, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/06:/00:/021156, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/06:/00:/441199, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/06:/00:/861169, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/06:/01:/281176, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/06:/01:/641171, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/06:/02:/061164, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/06:/02:/481163, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/06:/02:/841158, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/06:/03:/261157, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/06:/03:/681214, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
