DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,1,0.10373059422229959,0,90000000000,0,0,2,2
2,1,2,0.10373059422229959,0,90000000000,0,0,2,2
3,2,3,0.10369244552852876,0,-26213.217312424204,0,0,2,2
4,3,4,0.10365621601180507,0,-27601.803458396775,0,0,2,2
5,4,5,0.10339833087463948,0,-3877.695360775741,0,0,2,2
6,5,6,0.09254131663587381,0,-92.10635428932527,0,0,2,2
7,6,7,0.0920689770962028,0,-2117.1210877169488,0,0,2,2
8,7,8,0.09236973067499618,0,3324.981215558614,0,0,2,2
9,8,9,6.274460897000289,0,0.1617575627883229,0,0,2,2
10,9,10,6.274687709999033,0,4408.918384466063,0,0,2,2
11,10,11,6.2744611421340775,0,-4413.6885881682,0,0,2,2
12,11,12,6.274796286777699,0,2983.7863114710226,0,0,2,2
13,12,13,6.2744602647817675,0,-2975.995655370063,0,0,2,2
14,13,14,6.274688259972881,0,4386.057421286484,0,0,2,2
15,14,15,6.274926713709025,0,4193.685601954183,0,0,2,2
16,0,16,3.279901708156273,0,90000000000,0,0,2,2
17,1,17,3.279901708156273,0,90000000000,0,0,2,2
18,2,18,3.3500731565604753,0,14.250810304495754,0,0,2,2
19,3,19,3.3496896463574513,0,-2607.49255721165,0,0,2,2
20,4,20,3.339970035045444,0,-102.88477264153914,0,0,2,2
21,5,21,3.15272592805305,0,-5.34062201509296,0,0,2,2
22,6,22,3.152714912493795,0,-90780.68365417072,0,0,2,2
23,7,23,3.1486413398380604,0,-245.4847585919912,0,0,2,2
24,8,24,3.1408725362598235,0,-128.71994895087232,0,0,2,2
25,9,25,3.140766657791058,0,-9444.79091601166,0,0,2,2
26,10,26,3.141201353249993,0,2300.461114660917,0,0,2,2
27,11,27,3.1409870779126523,0,-4666.892664414585,0,0,2,2
28,12,28,3.140969867918126,0,-58105.77095000563,0,0,2,2
29,13,29,3.1408365033281758,0,-7498.242227368188,0,0,2,2
30,14,30,3.1411728067698865,0,2973.5051027519744,0,0,2,2
31,15,31,3.140836223574688,0,-2971.0336530903733,0,0,2,2
32,16,32,3.1475585115171714,0,148.75887622727345,0,0,2,2
33,0,33,0.06800315926587237,0,90000000000,0,0,2,2
34,1,34,0.06800315926587237,0,90000000000,0,0,2,2
35,2,35,0.01676341367492256,0,-19.51610002093032,0,0,2,2
36,3,36,0.02209616350623751,0,187.52051598741886,0,0,2,2
37,4,37,6.259598415994839,0,0.1603205833875292,0,0,2,2
38,5,38,6.251619776374097,0,-125.33464945582209,0,0,2,2
39,6,39,6.251619776374109,0,86607685141740.31,0,0,2,2
40,7,40,6.251619776374097,0,-86607685141740.31,0,0,2,2
41,8,41,6.2516197763740955,0,-562949953421312.0,0,0,2,2
42,9,42,6.251619776374111,0,66229406284860.234,0,0,2,2
43,10,43,6.2516197763740955,0,-66229406284860.234,0,0,2,2
44,11,44,6.251619776374097,0,562949953421312.0,0,0,2,2
45,12,45,6.251619776374111,0,75059993789508.27,0,0,2,2
46,13,46,6.2516197763740955,0,-66229406284860.234,0,0,2,2
47,14,47,6.251619776374097,0,562949953421312.0,0,0,2,2
48,15,48,6.251619776374109,0,86607685141740.31,0,0,2,2
49,16,49,6.251619776374097,0,-86607685141740.31,0,0,2,2
50,17,50,6.251619776374109,0,86607685141740.31,0,0,2,2
51,18,51,6.251619776374097,0,-86607685141740.31,0,0,2,2
52,19,52,6.251619776374097,0,90000000000,0,0,2,2
53,20,53,6.251619776374109,0,86607685141740.31,0,0,2,2
54,21,54,6.251619776374097,0,-86607685141740.31,0,0,2,2
55,22,55,6.2516197763740955,0,-562949953421312.0,0,0,2,2
56,23,56,6.251619776374111,0,66229406284860.234,0,0,2,2
57,24,57,6.2516197763740955,0,-66229406284860.234,0,0,2,2
58,25,58,6.251619776374097,0,562949953421312.0,0,0,2,2
59,26,59,6.25161977637411,0,80421421917330.28,0,0,2,2
60,27,60,6.2516197763740955,0,-70368744177664.0,0,0,2,2
61,28,61,6.233200232642726,0,-54.290161286510234,0,0,2,2
62,29,62,6.232612083459902,0,-1700.2488980749047,0,0,2,2
63,30,63,6.250556692264205,0,55.727043754791154,0,0,2,2
64,31,64,6.251458082430741,0,1109.397503017696,0,0,2,2
65,32,65,6.252121207438653,0,1508.0112920924346,0,0,2,2
66,33,66,6.257101629084342,0,200.78621272266227,0,0,2,2
67,34,67,6.265960685953359,0,112.87883290346628,0,0,2,2
68,35,68,6.26549055500591,0,-2127.0669489583734,0,0,2,2
69,36,69,0.01447542724474478,0,-0.1599740169494927,0,0,2,2
70,37,70,0.0155893476000027,0,897.7302508925407,0,0,2,2
71,38,71,0.015050534504701266,0,-1855.9311358989128,0,0,2,2
72,39,72,0.015174996775805655,0,8034.563334950527,0,0,2,2
73,40,73,6.2686883725488585,0,0.15991010811204687,0,0,2,2
74,41,74,6.267904819851054,0,-1276.2383472131542,0,0,2,2
75,42,75,6.26834297233278,0,2282.310477989472,0,0,2,2
76,43,76,6.2688532824693555,0,1959.5926640042405,0,0,2,2
77,44,77,6.267933238734841,0,-1086.9048529825675,0,0,2,2
78,45,78,0.00554246175910075,0,-0.15968342372957506,0,0,2,2
79,46,79,0.004600426373621961,0,-1061.5312496905306,0,0,2,2
80,47,80,0.004992304930415864,0,2551.8109696569118,0,0,2,2
81,48,81,0.0048304851313899465,0,-6179.7135209631515,0,0,2,2
82,49,82,0.00526579658987645,0,2297.205783364426,0,0,2,2
83,50,83,0.005339956396912371,0,13484.393230899761,0,0,2,2
84,51,84,0.00489087761918086,0,-2226.780800133617,0,0,2,2
85,52,85,0.004928286440423108,0,26731.662928492493,0,0,2,2
86,53,86,6.28216506543847,0,0.15930576385866663,0,0,2,2
87,54,87,6.282789985304156,0,1600.2051701496482,0,0,2,2
88,55,88,6.278759308393575,0,-248.0972854397862,0,0,2,2
89,56,89,6.282790095951803,0,248.09047501363852,0,0,2,2
90,57,90,6.279425583031409,0,-297.21984241414043,0,0,2,2
91,58,91,6.282790204730307,0,297.21023327154643,0,0,2,2
92,59,92,0.0014377875637808025,0,-0.1592013842858212,0,0,2,2
93,60,93,0.0076113995462927615,0,161.9797296676092,0,0,2,2
94,61,94,6.2827904295322465,0,0.15935800320939025,0,0,2,2
95,62,95,0.008459932495409585,0,-0.15937955459507078,0,0,2,2
96,0,96,6.2187584675693435,0,90000000000,0,0,2,2
97,1,97,6.2187584675693435,0,90000000000,0,0,2,2
98,2,98,0.047583103276983396,0,-0.1620436855167328,0,0,2,2
99,0,99,4.9607828296448275,0,90000000000,0,0,2,2
100,1,100,4.9607828296448275,0,90000000000,0,0,2,2
101,2,101,0.7520181932524741,0,-0.23759941132207732,0,0,2,2
102,0,102,5.202008215713562,0,90000000000,0,0,2,2
103,1,103,5.202008215713562,0,90000000000,0,0,2,2
104,2,104,1.3732471539509168,0,-0.2611810932750216,0,0,2,2
105,0,105,2.657670153046443,0,90000000000,0,0,2,2
106,1,106,2.657670153046443,0,90000000000,0,0,2,2
107,2,107,2.65767015304644,0,-321685687669321.1,0,0,2,2
