PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,1.58,-74.618,-238.511,0,0,0,0
2,0,0,1.5350000000000001,-74.309,-235.538,0,0,0,0
3,0,0,1.492,-73.999,-232.568,0,0,0,0
4,0,0,1.4480000000000004,-73.69,-229.596,0,0,0,0
5,0,0,1.4029999999999996,-73.382,-226.623,0,0,0,0
6,0,0,1.3760000000000003,-73.099,-223.578,0,0,0,0
7,0,0,1.3479999999999999,-72.825,-220.607,0,0,0,0
8,0,0,1.338,-72.712,-219.388,0,0,0,0
9,0,0,1.3209999999999997,-72.738,-216.404,0,0,0,0
10,0,0,1.3070000000000004,-72.763,-213.42,0,0,0,0
11,0,0,1.2910000000000004,-72.789,-210.436,0,0,0,0
12,0,0,1.274,-72.814,-207.452,0,0,0,0
13,0,0,1.258,-72.84,-204.468,0,0,0,0
14,0,0,1.2430000000000003,-72.866,-201.485,0,0,0,0
15,0,0,1.2359999999999998,-72.875,-200.37,0,0,0,0
16,0,0,0.3380000000000001,-70.948,-102.776,0,0,0,0
17,0,0,0.35799999999999965,-71.12,-104.014,0,0,0,0
18,0,0,0.4029999999999996,-71.65,-106.519,0,0,0,0
19,0,0,0.4509999999999996,-72.231,-109.269,0,0,0,0
20,0,0,0.48599999999999977,-72.652,-111.368,0,0,0,0
21,0,0,0.492,-72.669,-112.874,0,0,0,0
22,0,0,0.4980000000000002,-72.686,-114.381,0,0,0,0
23,0,0,0.524,-72.706,-117.191,0,0,0,0
24,0,0,0.5510000000000002,-72.704,-120.185,0,0,0,0
25,0,0,0.5759999999999996,-72.701,-123.178,0,0,0,0
26,0,0,0.5899999999999999,-72.701,-124.676,0,0,0,0
27,0,0,0.601,-72.7,-126.175,0,0,0,0
28,0,0,0.6130000000000004,-72.698,-129.277,0,0,0,0
29,0,0,0.6239999999999997,-72.695,-132.249,0,0,0,0
30,0,0,0.6349999999999998,-72.694,-135.221,0,0,0,0
31,0,0,0.6449999999999996,-72.692,-138.193,0,0,0,0
32,0,0,0.7110000000000003,-72.703,-139.994,0,0,0,0
33,0,0,1.9380000000000006,-75.323,-283.241,0,0,0,0
34,0,0,1.9329999999999998,-75.226,-281.823,0,0,0,0
35,0,0,1.9339999999999993,-75.207,-280.655,0,0,0,0
36,0,0,1.8930000000000007,-75.174,-279.167,0,0,0,0
37,0,0,1.8350000000000009,-75.23,-276.782,0,0,0,0
38,0,0,1.8279999999999994,-75.262,-275.765,0,0,0,0
39,0,0,1.8219999999999992,-75.294,-274.749,0,0,0,0
40,0,0,1.8149999999999995,-75.327,-273.732,0,0,0,0
41,0,0,1.8089999999999993,-75.359,-272.715,0,0,0,0
42,0,0,1.8019999999999996,-75.391,-271.699,0,0,0,0
43,0,0,1.7959999999999994,-75.423,-270.682,0,0,0,0
44,0,0,1.7889999999999997,-75.455,-269.666,0,0,0,0
45,0,0,1.7829999999999995,-75.487,-268.649,0,0,0,0
46,0,0,1.7769999999999992,-75.519,-267.632,0,0,0,0
47,0,0,1.7699999999999996,-75.551,-266.616,0,0,0,0
48,0,0,1.7639999999999993,-75.583,-265.599,0,0,0,0
49,0,0,1.7569999999999997,-75.615,-264.582,0,0,0,0
50,0,0,1.7509999999999994,-75.648,-263.566,0,0,0,0
51,0,0,1.7439999999999998,-75.68,-262.549,0,0,0,0
52,0,0,1.7379999999999995,-75.712,-261.533,0,0,0,0
53,0,0,1.7309999999999999,-75.744,-260.516,0,0,0,0
54,0,0,1.7249999999999996,-75.776,-259.499,0,0,0,0
55,0,0,1.718,-75.808,-258.483,0,0,0,0
