PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10001,0,0,-16.84,-232.196,284.493,0,0,0,0
10002,0,0,-16.837,-231.363,282.424,0,0,0,0
10003,0,0,-16.836,-230.244,279.649,0,0,0,0
10004,0,0,-16.846,-228.945,276.945,0,0,0,0
10005,0,0,-16.859,-227.65,274.251,0,0,0,0
10006,0,0,-16.881,-226.062,271.037,0,0,0,0
10007,0,0,-16.901,-224.743,268.365,0,0,0,0
10008,0,0,-16.93,-223.105,265.317,0,0,0,0
10009,0,0,-16.958,-221.692,262.696,0,0,0,0
10010,0,0,-16.965,-220.689,260.834,0,0,0,0
10011,0,0,-16.978,-219.27,258.202,0,0,0,0
10012,0,0,-16.942,-217.709,255.367,0,0,0,0
10013,0,0,-16.91,-216.261,252.735,0,0,0,0
10014,0,0,-16.921,-215.455,251.394,0,0,0,0
10015,0,0,-16.933999999999997,-214.82,250.316,0,0,0,0
10016,0,0,-16.942,-213.905,248.687,0,0,0,0
10017,0,0,-16.951,-213.409,247.805,0,0,0,0
10018,0,0,-16.961,-212.913,246.924,0,0,0,0
10019,0,0,-16.971,-212.417,246.043,0,0,0,0
10020,0,0,-16.98,-211.921,245.161,0,0,0,0
10021,0,0,-16.990000000000002,-211.425,244.28,0,0,0,0
10022,0,0,-17.0,-210.929,243.399,0,0,0,0
10023,0,0,-17.009999999999998,-210.433,242.517,0,0,0,0
10024,0,0,-17.019,-209.938,241.636,0,0,0,0
10025,0,0,-17.029,-209.442,240.755,0,0,0,0
10026,0,0,-17.039,-208.946,239.874,0,0,0,0
10027,0,0,-17.048000000000002,-208.45,238.992,0,0,0,0
10028,0,0,-17.058,-207.954,238.111,0,0,0,0
10029,0,0,-17.067999999999998,-207.458,237.23,0,0,0,0
10030,0,0,-17.078,-206.962,236.348,0,0,0,0
10031,0,0,-17.087,-206.467,235.467,0,0,0,0
10032,0,0,-17.097,-205.971,234.586,0,0,0,0
10033,0,0,-17.107,-205.475,233.704,0,0,0,0
10034,0,0,-17.116,-204.979,232.823,0,0,0,0
10035,0,0,-17.125999999999998,-204.483,231.942,0,0,0,0
10036,0,0,-17.136,-203.987,231.061,0,0,0,0
10037,0,0,-17.146,-203.491,230.179,0,0,0,0
10038,0,0,-17.155,-202.995,229.298,0,0,0,0
10039,0,0,-17.165,-202.5,228.417,0,0,0,0
10040,0,0,-17.175,-202.004,227.535,0,0,0,0
10041,0,0,-17.183999999999997,-201.508,226.654,0,0,0,0
10042,0,0,-17.194000000000003,-201.012,225.773,0,0,0,0
10043,0,0,-17.204,-200.516,224.892,0,0,0,0
10044,0,0,-17.214,-200.02,224.01,0,0,0,0
10045,0,0,-17.223,-199.524,223.129,0,0,0,0
10046,0,0,-17.233,-199.029,222.248,0,0,0,0
10047,0,0,-17.243000000000002,-198.533,221.366,0,0,0,0
10048,0,0,-17.252000000000002,-198.037,220.485,0,0,0,0
10049,0,0,-17.262,-197.541,219.604,0,0,0,0
10050,0,0,-17.272,-197.045,218.722,0,0,0,0
10051,0,0,-17.282,-196.549,217.841,0,0,0,0
10052,0,0,-17.291,-196.053,216.96,0,0,0,0
10053,0,0,-17.301000000000002,-195.558,216.079,0,0,0,0
10054,0,0,-17.311,-195.062,215.197,0,0,0,0
10055,0,0,-17.32,-194.566,214.316,0,0,0,0
10056,0,0,-17.33,-194.07,213.435,0,0,0,0
10057,0,0,-17.34,-193.574,212.553,0,0,0,0
10058,0,0,-17.35,-193.078,211.672,0,0,0,0
10059,0,0,-17.359,-192.582,210.791,0,0,0,0
10060,0,0,-17.369,-192.086,209.909,0,0,0,0
10061,0,0,-17.378999999999998,-191.591,209.028,0,0,0,0
10062,0,0,-17.387999999999998,-191.095,208.147,0,0,0,0
10063,0,0,-17.398,-190.599,207.266,0,0,0,0
10064,0,0,-17.408,-190.103,206.384,0,0,0,0
10065,0,0,-17.418,-189.607,205.503,0,0,0,0
10066,0,0,-17.427,-189.111,204.622,0,0,0,0
10067,0,0,-17.436999999999998,-188.615,203.74,0,0,0,0
10068,0,0,-17.447,-188.12,202.859,0,0,0,0
10069,0,0,-17.456,-187.624,201.978,0,0,0,0
10070,0,0,-17.466,-187.128,201.096,0,0,0,0
10071,0,0,-17.476,-186.632,200.215,0,0,0,0
10072,0,0,-17.486,-186.136,199.334,0,0,0,0
10073,0,0,-17.494999999999997,-185.64,198.453,0,0,0,0
10074,0,0,-17.505000000000003,-185.144,197.571,0,0,0,0
10075,0,0,-17.515,-184.649,196.69,0,0,0,0
10076,0,0,-17.524,-184.153,195.809,0,0,0,0
10077,0,0,-17.534,-183.657,194.927,0,0,0,0
10078,0,0,-17.544,-183.161,194.046,0,0,0,0
10079,0,0,-17.554000000000002,-182.665,193.165,0,0,0,0
10080,0,0,-17.563000000000002,-182.169,192.284,0,0,0,0
10081,0,0,-17.573,-181.673,191.402,0,0,0,0
10082,0,0,-17.583,-181.177,190.521,0,0,0,0
10083,0,0,-17.592,-180.682,189.64,0,0,0,0
10084,0,0,-17.602,-180.186,188.758,0,0,0,0
10085,0,0,-17.612000000000002,-179.69,187.877,0,0,0,0
10086,0,0,-17.622,-179.194,186.996,0,0,0,0
10087,0,0,-17.631,-178.698,186.114,0,0,0,0
10088,0,0,-17.641,-178.202,185.233,0,0,0,0
10089,0,0,-17.651,-177.706,184.352,0,0,0,0
10090,0,0,-17.66,-177.211,183.471,0,0,0,0
10091,0,0,-17.67,-176.715,182.589,0,0,0,0
10092,0,0,-17.68,-176.219,181.708,0,0,0,0
10093,0,0,-17.689999999999998,-175.723,180.827,0,0,0,0
10094,0,0,-17.698999999999998,-175.227,179.945,0,0,0,0
10095,0,0,-17.709,-174.731,179.064,0,0,0,0
10096,0,0,-17.719,-174.235,178.183,0,0,0,0
10097,0,0,-17.729,-173.74,177.302,0,0,0,0
10098,0,0,-17.744,-172.965,176.036,0,0,0,0
10099,0,0,-17.753,-172.407,175.035,0,0,0,0
10100,0,0,-17.811999999999998,-171.698,173.821,0,0,0,0
10101,0,0,-17.82,-171.205,172.943,0,0,0,0
10102,0,0,-17.828,-170.712,172.066,0,0,0,0
10103,0,0,-17.836,-170.22,171.189,0,0,0,0
