PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,-17.721,-231.99,284.857,0,0,0,0
2,0,0,-17.709,-231.157,282.787,0,0,0,0
3,0,0,-17.7,-230.038,280.012,0,0,0,0
4,0,0,-17.692,-228.739,277.308,0,0,0,0
5,0,0,-17.680999999999997,-227.444,274.615,0,0,0,0
6,0,0,-17.671,-225.856,271.4,0,0,0,0
7,0,0,-17.663,-224.537,268.728,0,0,0,0
8,0,0,-17.652,-222.899,265.681,0,0,0,0
9,0,0,-17.641,-221.486,263.059,0,0,0,0
10,0,0,-17.631999999999998,-220.483,261.197,0,0,0,0
11,0,0,-17.622999999999998,-219.064,258.565,0,0,0,0
12,0,0,-17.613,-217.503,255.73,0,0,0,0
13,0,0,-17.603,-216.055,253.098,0,0,0,0
14,0,0,-17.593,-215.249,251.757,0,0,0,0
15,0,0,-17.584,-214.614,250.679,0,0,0,0
16,0,0,-17.573999999999998,-213.698,249.05,0,0,0,0
17,0,0,-17.564,-213.202,248.168,0,0,0,0
18,0,0,-17.555,-212.706,247.287,0,0,0,0
19,0,0,-17.546,-212.21,246.406,0,0,0,0
20,0,0,-17.537,-211.714,245.524,0,0,0,0
21,0,0,-17.528,-211.218,244.643,0,0,0,0
22,0,0,-17.519,-210.722,243.762,0,0,0,0
23,0,0,-17.509999999999998,-210.227,242.88,0,0,0,0
24,0,0,-17.500999999999998,-209.731,241.999,0,0,0,0
25,0,0,-17.492,-209.235,241.118,0,0,0,0
26,0,0,-17.482,-208.739,240.237,0,0,0,0
27,0,0,-17.473,-208.243,239.355,0,0,0,0
28,0,0,-17.464,-207.747,238.474,0,0,0,0
29,0,0,-17.455,-207.251,237.593,0,0,0,0
30,0,0,-17.445999999999998,-206.756,236.711,0,0,0,0
31,0,0,-17.436999999999998,-206.26,235.83,0,0,0,0
32,0,0,-17.428,-205.764,234.949,0,0,0,0
33,0,0,-17.419,-205.268,234.067,0,0,0,0
34,0,0,-17.41,-204.772,233.186,0,0,0,0
35,0,0,-17.4,-204.276,232.305,0,0,0,0
36,0,0,-17.391,-203.78,231.424,0,0,0,0
37,0,0,-17.381999999999998,-203.285,230.542,0,0,0,0
38,0,0,-17.372999999999998,-202.789,229.661,0,0,0,0
39,0,0,-17.364,-202.293,228.78,0,0,0,0
