DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,1,2.759005720130263,0,90000000000,0,0,2,2
2,1,2,2.759005720130263,0,90000000000,0,0,2,2
3,2,3,2.758293507623975,0,-1404.0753162447145,0,0,2,2
4,3,4,2.6937481123059435,0,-15.492971962953312,0,0,2,2
5,4,5,2.6933606770098963,0,-2581.0761440753517,0,0,2,2
6,5,6,2.6828090620092935,0,-94.77222206675141,0,0,2,2
7,6,7,2.683047806748342,0,4188.57397228921,0,0,2,2
8,7,8,2.648336524399933,0,-28.80907682875703,0,0,2,2
9,8,9,2.6473101972019446,0,-974.3481435161846,0,0,2,2
10,9,10,2.6474911667299597,0,5525.792164948505,0,0,2,2
11,10,11,2.647130321520221,0,-2771.2713734620734,0,0,2,2
12,11,12,2.6382756436827504,0,-112.93465650080235,0,0,2,2
13,12,13,2.638632770067276,0,2800.129151275599,0,0,2,2
14,13,14,2.6004058619137442,0,-26.159583610154186,0,0,2,2
15,14,15,2.609260708210794,0,112.93250796834113,0,0,2,2
16,15,16,2.6293489317863674,0,49.78040971307993,0,0,2,2
17,16,17,2.6290974495072197,0,-3976.423322506008,0,0,2,2
18,17,18,2.629097449507234,0,70368744177664.0,0,0,2,2
19,18,19,2.6290974495072197,0,-70368744177664.0,0,0,2,2
20,19,20,2.629097449507234,0,70368744177664.0,0,0,2,2
21,20,21,2.6290974495072197,0,-70368744177664.0,0,0,2,2
22,21,22,2.629097449507234,0,70368744177664.0,0,0,2,2
23,22,23,2.6290974495072197,0,-70368744177664.0,0,0,2,2
24,23,24,2.6290974495072197,0,90000000000,0,0,2,2
25,24,25,2.629097449507234,0,70368744177664.0,0,0,2,2
26,25,26,2.6290974495072197,0,-70368744177664.0,0,0,2,2
27,26,27,2.629097449507234,0,70368744177664.0,0,0,2,2
28,27,28,2.6290974495072197,0,-70368744177664.0,0,0,2,2
29,28,29,2.629097449507234,0,70368744177664.0,0,0,2,2
30,29,30,2.6290974495072446,0,93824992236885.33,0,0,2,2
31,30,31,2.6290974495072197,0,-40210710958665.14,0,0,2,2
32,31,32,2.629097449507234,0,70368744177664.0,0,0,2,2
33,32,33,2.6290974495072197,0,-70368744177664.0,0,0,2,2
34,33,34,2.629097449507234,0,70368744177664.0,0,0,2,2
35,34,35,2.6290974495072197,0,-70368744177664.0,0,0,2,2
36,35,36,2.629097449507234,0,70368744177664.0,0,0,2,2
37,36,37,2.6290974495072197,0,-70368744177664.0,0,0,2,2
38,37,38,2.629097449507234,0,70368744177664.0,0,0,2,2
39,38,39,2.6290974495072197,0,-70368744177664.0,0,0,2,2
40,39,40,2.6290974495072197,0,90000000000,0,0,2,2
41,40,41,2.629097449507234,0,70368744177664.0,0,0,2,2
42,41,42,2.6290974495072197,0,-70368744177664.0,0,0,2,2
43,42,43,2.629097449507234,0,70368744177664.0,0,0,2,2
44,43,44,2.6290974495072197,0,-70368744177664.0,0,0,2,2
45,44,45,2.629097449507234,0,70368744177664.0,0,0,2,2
46,45,46,2.6290974495072197,0,-70368744177664.0,0,0,2,2
47,46,47,2.629097449507234,0,70368744177664.0,0,0,2,2
48,47,48,2.6290974495072197,0,-70368744177664.0,0,0,2,2
49,48,49,2.6290974495072197,0,90000000000,0,0,2,2
50,49,50,2.629097449507234,0,70368744177664.0,0,0,2,2
51,50,51,2.6290974495072197,0,-70368744177664.0,0,0,2,2
52,51,52,2.629097449507234,0,70368744177664.0,0,0,2,2
53,52,53,2.6290974495072197,0,-70368744177664.0,0,0,2,2
54,53,54,2.6290974495072197,0,90000000000,0,0,2,2
55,54,55,2.629097449507234,0,70368744177664.0,0,0,2,2
56,55,56,2.6290974495072197,0,-70368744177664.0,0,0,2,2
57,56,57,2.629097449507234,0,70368744177664.0,0,0,2,2
58,57,58,2.6290974495072197,0,-70368744177664.0,0,0,2,2
59,58,59,2.6290974495072583,0,25882756479140.78,0,0,2,2
60,59,60,2.6290974495072197,0,-25882756479140.78,0,0,2,2
61,60,61,2.629097449507234,0,70368744177664.0,0,0,2,2
62,61,62,2.6290974495072197,0,-70368744177664.0,0,0,2,2
63,62,63,2.6290974495072197,0,90000000000,0,0,2,2
64,63,64,2.629097449507234,0,70368744177664.0,0,0,2,2
65,64,65,2.6290974495072197,0,-70368744177664.0,0,0,2,2
66,65,66,2.629097449507234,0,70368744177664.0,0,0,2,2
67,66,67,2.6290974495072197,0,-70368744177664.0,0,0,2,2
68,67,68,2.6290974495072197,0,90000000000,0,0,2,2
69,68,69,2.629097449507234,0,70368744177664.0,0,0,2,2
70,69,70,2.629097449507234,0,90000000000,0,0,2,2
71,70,71,2.6290974495072197,0,-70368744177664.0,0,0,2,2
72,71,72,2.6290974495072197,0,90000000000,0,0,2,2
73,72,73,2.629097449507234,0,70368744177664.0,0,0,2,2
74,73,74,2.6290974495072197,0,-70368744177664.0,0,0,2,2
75,74,75,2.629097449507234,0,70368744177664.0,0,0,2,2
76,75,76,2.6290974495072197,0,-70368744177664.0,0,0,2,2
77,76,77,2.6290974495072197,0,90000000000,0,0,2,2
78,77,78,2.629097449507234,0,70368744177664.0,0,0,2,2
79,78,79,2.6290974495072197,0,-70368744177664.0,0,0,2,2
80,79,80,2.629097449507234,0,70368744177664.0,0,0,2,2
81,80,81,2.6290974495072446,0,93824992236885.33,0,0,2,2
82,81,82,2.6290974495072197,0,-40210710958665.14,0,0,2,2
83,82,83,2.629097449507234,0,70368744177664.0,0,0,2,2
84,83,84,2.629097449507234,0,90000000000,0,0,2,2
85,84,85,2.6290974495072197,0,-70368744177664.0,0,0,2,2
86,85,86,2.6290974495072197,0,90000000000,0,0,2,2
87,86,87,2.629097449507234,0,70368744177664.0,0,0,2,2
88,87,88,2.6290974495072197,0,-70368744177664.0,0,0,2,2
89,88,89,2.629097449507234,0,70368744177664.0,0,0,2,2
90,89,90,2.6290974495072197,0,-70368744177664.0,0,0,2,2
91,90,91,2.6290974495072197,0,90000000000,0,0,2,2
92,91,92,2.629097449507234,0,70368744177664.0,0,0,2,2
93,92,93,2.629097449507234,0,90000000000,0,0,2,2
94,93,94,2.6290974495072197,0,-70368744177664.0,0,0,2,2
95,94,95,2.6290974495072197,0,90000000000,0,0,2,2
96,95,96,2.6290974495072197,0,90000000000,0,0,2,2
97,96,97,2.629097449507234,0,70368744177664.0,0,0,2,2
98,97,98,2.592276796367379,0,-27.15867087424364,0,0,2,2
99,98,99,2.5914206342182267,0,-1168.0030482425116,0,0,2,2
100,99,100,2.5846253555197416,0,-147.16099874210303,0,0,2,2
101,100,101,2.5700498686799143,0,-68.608342965774,0,0,2,2
102,101,102,2.5476974472857874,0,-44.73788241406151,0,0,2,2
103,102,103,2.5175638676220604,0,-33.18556942651393,0,0,2,2
104,103,104,2.4796434320140253,0,-26.371005078541476,0,0,2,2
105,104,105,2.4339289645144424,0,-21.87491301324083,0,0,2,2
106,105,106,2.3804118054647914,0,-18.68559575578817,0,0,2,2
107,106,107,2.3190818049219786,0,-16.30523383579505,0,0,2,2
108,107,108,2.249927314939751,0,-14.460377052263686,0,0,2,2
109,108,109,2.1729351806927983,0,-12.988339780171474,0,0,2,2
110,109,110,2.088147554089453,0,-11.794173749882352,0,0,2,2
111,110,111,1.9987599895505175,0,-11.187238461614166,0,0,2,2
112,111,112,1.909492737957072,0,-11.202316439116478,0,0,2,2
113,112,113,1.8207145038854415,0,-11.264022206086596,0,0,2,2
114,113,114,1.7324252218069744,0,-11.326403120044063,0,0,2,2
115,114,115,1.644624826562526,0,-11.389470368736523,0,0,2,2
116,115,116,1.557313253457437,0,-11.453235400951831,0,0,2,2
117,116,117,1.4704904378813135,0,-11.517709871125199,0,0,2,2
118,117,118,1.3841563158777803,0,-11.582905771128077,0,0,2,2
119,118,119,1.2983108237642533,0,-11.648835313070869,0,0,2,2
120,119,120,1.2129538982267376,0,-11.715510999285982,0,0,2,2
121,120,121,1.1280854763199473,0,-11.782945617844579,0,0,2,2
122,121,122,1.0642511187818342,0,-15.665544991236704,0,0,2,2
123,122,123,1.0632216966499521,0,-971.418788297983,0,0,2,2
124,123,124,1.0632216966499903,0,26183718763781.953,0,0,2,2
125,124,125,1.0632216966499657,0,-40572969615950.414,0,0,2,2
126,125,126,1.0632216966499521,0,-73829502088040.92,0,0,2,2
127,126,127,1.0632216966499657,0,73829502088040.92,0,0,2,2
128,127,128,1.0632216966499521,0,-73829502088040.92,0,0,2,2
129,128,129,1.0632216966499657,0,73829502088040.92,0,0,2,2
130,129,130,1.0632216966499903,0,40572969615950.414,0,0,2,2
131,130,131,1.0632216966499521,0,-26183718763781.953,0,0,2,2
132,131,132,1.0632216966499657,0,73829502088040.92,0,0,2,2
133,132,133,1.0632216966499657,0,90000000000,0,0,2,2
134,133,134,1.0632216966499521,0,-73829502088040.92,0,0,2,2
135,134,135,1.0632216966499903,0,26183718763781.953,0,0,2,2
136,135,136,1.0632216966499521,0,-26183718763781.953,0,0,2,2
137,136,137,1.0632216966499657,0,73829502088040.92,0,0,2,2
138,137,138,1.0632216966499657,0,90000000000,0,0,2,2
139,138,139,1.0632216966499521,0,-73829502088040.92,0,0,2,2
140,139,140,1.0632216966499657,0,73829502088040.92,0,0,2,2
141,140,141,1.0632216966499903,0,40572969615950.414,0,0,2,2
142,141,142,1.0632216966499521,0,-26183718763781.953,0,0,2,2
