DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,1,1.558566892294941,0,90000000000,0,0,2,2
2,1,2,1.558566892294941,0,90000000000,0,0,2,2
3,2,3,1.5996811147917673,0,24.322483541484704,0,0,2,2
4,3,4,1.6495497587677808,0,20.052680808425333,0,0,2,2
5,4,5,1.6994571536951528,0,20.037110761947282,0,0,2,2
6,5,6,1.780301197885973,0,12.369494995075332,0,0,2,2
7,0,7,3.2417524988146966,0,90000000000,0,0,2,2
8,1,8,3.2417524988146966,0,90000000000,0,0,2,2
9,2,9,3.229660682649295,0,-82.70056262195683,0,0,2,2
10,3,10,3.2387618588752707,0,109.87590781352868,0,0,2,2
11,4,11,3.2189677574430706,0,-50.520100820199374,0,0,2,2
12,5,12,3.24846041943501,0,33.906739251726776,0,0,2,2
13,6,13,3.2279093248447057,0,-48.65920866676308,0,0,2,2
14,7,14,3.232437893065716,0,220.82034568022874,0,0,2,2
15,8,15,3.232437893065716,0,90000000000,0,0,2,2
16,9,16,3.232437893065716,0,90000000000,0,0,2,2
17,10,17,3.232437893065716,0,90000000000,0,0,2,2
18,11,18,3.232437893065716,0,90000000000,0,0,2,2
19,12,19,3.232437893065702,0,-70368744177664.0,0,0,2,2
20,13,20,3.232437893065716,0,70368744177664.0,0,0,2,2
21,14,21,3.232437893065716,0,90000000000,0,0,2,2
22,15,22,3.232437893065716,0,90000000000,0,0,2,2
23,16,23,3.232437893065716,0,90000000000,0,0,2,2
24,17,24,3.232437893065716,0,90000000000,0,0,2,2
25,18,25,3.232437893065716,0,90000000000,0,0,2,2
26,19,26,3.232437893065716,0,90000000000,0,0,2,2
27,20,27,3.232437893065716,0,90000000000,0,0,2,2
28,21,28,3.232437893065716,0,90000000000,0,0,2,2
29,22,29,3.232437893065716,0,90000000000,0,0,2,2
30,23,30,3.232437893065702,0,-70368744177664.0,0,0,2,2
31,24,31,3.232437893065716,0,70368744177664.0,0,0,2,2
32,25,32,3.2324378930657156,0,-2251799813685248.0,0,0,2,2
33,26,33,3.232437893065716,0,2251799813685248.0,0,0,2,2
34,27,34,3.232437893065716,0,90000000000,0,0,2,2
35,28,35,3.232437893065716,0,90000000000,0,0,2,2
36,29,36,3.2166962480966474,0,-63.525762521321035,0,0,2,2
37,30,37,3.2295557028658086,0,77.7637946515543,0,0,2,2
38,31,38,3.2399121645198377,0,96.55807489143399,0,0,2,2
39,32,39,3.2257947514267573,0,-70.83450724340923,0,0,2,2
40,33,40,3.2369325992004554,0,89.78395290708588,0,0,2,2
41,34,41,3.2545658632040184,0,56.71099802044236,0,0,2,2
42,35,42,3.278885632463757,0,41.11881117455722,0,0,2,2
43,36,43,3.3299040719669795,0,19.6007563096249,0,0,2,2
44,37,44,3.4001133835589643,0,14.243124983355639,0,0,2,2
45,38,45,3.459101945252673,0,16.952439104929947,0,0,2,2
46,39,46,3.543137728863313,0,11.899692690833517,0,0,2,2
47,40,47,3.6176108699569967,0,13.42765976182001,0,0,2,2
48,41,48,3.7359089215337216,0,8.453224602363186,0,0,2,2
49,42,49,3.8471795463616125,0,8.987097911481676,0,0,2,2
50,43,50,3.9411306852368706,0,10.643830526926681,0,0,2,2
51,44,51,4.0893021757633505,0,6.748936630432888,0,0,2,2
52,45,52,4.19599074802884,0,9.373075098535844,0,0,2,2
53,46,53,4.276377349226538,0,12.439884073972273,0,0,2,2
54,47,54,4.393771678205734,0,8.518299041320882,0,0,2,2
55,48,55,4.435591856564567,0,23.911901843641612,0,0,2,2
56,49,56,4.532321028000297,0,10.338142932036154,0,0,2,2
57,50,57,4.62691588478104,0,10.571399270870005,0,0,2,2
58,51,58,4.68814071921574,0,16.333241391882535,0,0,2,2
59,52,59,4.765389227801055,0,12.945233743840829,0,0,2,2
60,53,60,4.800665986450108,0,28.34727560852186,0,0,2,2
61,54,61,4.911754111845053,0,9.001862228251255,0,0,2,2
62,55,62,4.90231283578795,0,-105.91788588234776,0,0,2,2
63,56,63,4.949527298772888,0,21.179950734990175,0,0,2,2
64,57,64,4.962720903665782,0,75.7942964123912,0,0,2,2
65,58,65,4.942678029532429,0,-49.89304394901621,0,0,2,2
66,59,66,4.962555637399315,0,50.30786434145839,0,0,2,2
67,60,67,4.9629788415231175,0,2362.925935159227,0,0,2,2
68,61,68,4.959695280945079,0,-304.5474497069513,0,0,2,2
69,62,69,4.937640819803546,0,-45.34230029845569,0,0,2,2
70,63,70,4.956624419667007,0,52.67704793571765,0,0,2,2
71,64,71,4.935693863542425,0,-47.77703917888511,0,0,2,2
72,65,72,4.923206398266908,0,-80.08030276253201,0,0,2,2
73,66,73,4.925712991459616,0,398.9478639410781,0,0,2,2
74,67,74,4.909638845065406,0,-62.211701665243424,0,0,2,2
75,68,75,4.918093039333756,0,118.28448321134263,0,0,2,2
76,69,76,4.900959673747919,0,-58.365648884925356,0,0,2,2
77,70,77,4.889478645862036,0,-87.10021523679184,0,0,2,2
78,71,78,4.900130351991886,0,93.8816737722084,0,0,2,2
79,72,79,4.86819886045826,0,-31.317046337998978,0,0,2,2
80,73,80,4.880284731296178,0,82.74124499681126,0,0,2,2
81,74,81,4.858762484090367,0,-46.46354957441536,0,0,2,2
82,75,82,4.839862457328626,0,-52.909977991367164,0,0,2,2
83,76,83,4.848704444757061,0,113.09674528421696,0,0,2,2
84,77,84,4.824997448626514,0,-42.18164100138732,0,0,2,2
85,78,85,4.837394176644113,0,80.66644670919258,0,0,2,2
86,79,86,4.818267962898115,0,-52.28426353905029,0,0,2,2
87,80,87,4.797689370862292,0,-48.59418944985308,0,0,2,2
88,81,88,4.811037355569529,0,74.9176764832383,0,0,2,2
89,82,89,4.774484673120884,0,-27.357773301725377,0,0,2,2
90,83,90,4.79848145129402,0,41.67226086706428,0,0,2,2
91,84,91,4.774556036249085,0,-41.796558100325015,0,0,2,2
92,85,92,4.792282748392011,0,56.41204031166482,0,0,2,2
93,86,93,4.780223354087835,0,-82.92290431649049,0,0,2,2
94,87,94,4.798305672482304,0,55.3026430673787,0,0,2,2
95,88,95,4.8327462604060765,0,29.03550898182387,0,0,2,2
96,89,96,4.854069916315384,0,46.8962735214411,0,0,2,2
97,90,97,4.858811228986401,0,210.9120552443235,0,0,2,2
98,91,98,4.915183806727578,0,17.73912139677715,0,0,2,2
99,92,99,4.90786774278484,0,-136.68551940318375,0,0,2,2
100,93,100,4.949243794920864,0,24.168569700958756,0,0,2,2
101,94,101,4.974165386427151,0,40.12584829294491,0,0,2,2
102,95,102,5.0324039452460685,0,17.17075457016925,0,0,2,2
103,96,103,5.064036787582688,0,31.612714069717562,0,0,2,2
104,97,104,5.089605731397505,0,39.109945535587556,0,0,2,2
105,98,105,5.146563438286315,0,17.556886585201628,0,0,2,2
106,99,106,5.142702581361353,0,-259.0098569917112,0,0,2,2
107,100,107,5.219624220678501,0,13.000242959942614,0,0,2,2
108,101,108,5.231128292240012,0,86.92574578079764,0,0,2,2
109,102,109,5.268926988364006,0,26.45593902815088,0,0,2,2
110,103,110,5.309378022353137,0,24.721246934471544,0,0,2,2
111,104,111,5.349110681982448,0,25.168211977994375,0,0,2,2
112,105,112,5.399603771745814,0,19.804690199915743,0,0,2,2
113,106,113,5.438744574516751,0,25.54878615679576,0,0,2,2
114,107,114,5.475626657399262,0,27.11343616860068,0,0,2,2
115,108,115,5.514417267447984,0,25.779434732889978,0,0,2,2
116,109,116,5.541924609867813,0,36.3539299703168,0,0,2,2
117,110,117,5.539787523480623,0,-467.9268025822842,0,0,2,2
118,111,118,5.553122301143024,0,74.99187652896373,0,0,2,2
119,112,119,5.55377080490638,0,1542.0110977087445,0,0,2,2
120,113,120,5.547195757700536,0,-152.09016280693288,0,0,2,2
121,114,121,5.538543566637068,0,-115.57766034804773,0,0,2,2
122,115,122,5.53462755787547,0,-255.36204357008418,0,0,2,2
123,116,123,5.506249562150493,0,-35.238570394167965,0,0,2,2
124,117,124,5.506788435120788,0,1855.7249205741496,0,0,2,2
125,118,125,5.49010908726785,0,-59.95438243851283,0,0,2,2
126,119,126,5.48976840997124,0,-2935.3291515158553,0,0,2,2
127,120,127,5.4669105775852245,0,-43.748680238455584,0,0,2,2
128,121,128,5.472646454247235,0,174.34126619618584,0,0,2,2
129,122,129,5.451526475266435,0,-47.34853197103698,0,0,2,2
130,123,130,5.433258829562854,0,-54.741591567213604,0,0,2,2
131,124,131,5.443122191867296,0,101.38530545001609,0,0,2,2
132,125,132,5.4204117309919555,0,-44.0325718394301,0,0,2,2
133,126,133,5.429569944595144,0,109.19160038501632,0,0,2,2
134,127,134,5.4534155259141865,0,41.936490732621834,0,0,2,2
135,128,135,5.475322150007612,0,45.648293216485186,0,0,2,2
136,129,136,5.552768253112589,0,12.912205519811808,0,0,2,2
137,130,137,5.611794632707561,0,16.94157776339695,0,0,2,2
138,131,138,5.689639661916961,0,12.846035387950565,0,0,2,2
139,132,139,5.77949683073904,0,11.128772618910787,0,0,2,2
140,133,140,5.877047727512194,0,10.251059017175582,0,0,2,2
141,134,141,5.9833934829230735,0,9.403290203133905,0,0,2,2
142,135,142,6.0736496842469405,0,11.079571102396525,0,0,2,2
143,136,143,6.149022378119176,0,13.267404263075672,0,0,2,2
144,137,144,6.226848788496868,0,12.849108614248008,0,0,2,2
145,138,145,0.014413824731585093,0,-0.160967479874254,0,0,2,2
146,139,146,0.04119377169542659,0,37.341373429536965,0,0,2,2
147,140,147,0.052873575743814995,0,85.61787473977196,0,0,2,2
148,0,148,0.08136676292898203,0,90000000000,0,0,2,2
149,1,149,0.08136676292898203,0,90000000000,0,0,2,2
150,2,150,0.08136676292898203,0,90000000000,0,0,2,2
151,3,151,0.08136676292898203,0,90000000000,0,0,2,2
152,4,152,0.08136676292898203,0,90000000000,0,0,2,2
153,5,153,0.08136676292898203,0,90000000000,0,0,2,2
154,6,154,0.08136676292898203,0,90000000000,0,0,2,2
155,7,155,0.08136676292898203,0,90000000000,0,0,2,2
156,8,156,0.08136676292898203,0,90000000000,0,0,2,2
157,9,157,0.08136676292898203,0,90000000000,0,0,2,2
158,10,158,0.08136676292898203,0,90000000000,0,0,2,2
159,11,159,0.08136676292898203,0,90000000000,0,0,2,2
160,12,160,0.08136676292898203,0,90000000000,0,0,2,2
161,13,161,0.13999555166501562,0,17.056466994437397,0,0,2,2
162,14,162,0.17664913183244305,0,27.28246450775524,0,0,2,2
163,15,163,0.19307190862354842,0,60.89104252708366,0,0,2,2
164,16,164,0.2899592655750489,0,10.321264109831958,0,0,2,2
165,17,165,0.33470587487706066,0,22.348062022993137,0,0,2,2
166,18,166,0.41115873750217036,0,13.079954963930497,0,0,2,2
167,19,167,0.5182369904393016,0,9.338964472899358,0,0,2,2
168,20,168,0.6323779107826996,0,8.761099849129096,0,0,2,2
169,21,169,0.7127274620914472,0,12.445620214572747,0,0,2,2
170,22,170,0.8123436845508287,0,10.038525606687703,0,0,2,2
171,23,171,0.9047199500162089,0,10.825291485449476,0,0,2,2
172,24,172,1.0230644318181754,0,8.449908139133724,0,0,2,2
173,25,173,1.0883638315258632,0,15.314076461292,0,0,2,2
174,26,174,1.1792404491022503,0,11.003930677321277,0,0,2,2
175,27,175,1.2714115192099515,0,10.849391233404447,0,0,2,2
176,28,176,1.372422394112991,0,9.899924151334227,0,0,2,2
177,29,177,1.4412812073732981,0,14.522469276658848,0,0,2,2
178,30,178,1.5025171930454477,0,16.330267064759674,0,0,2,2
179,31,179,1.5669377692125281,0,15.522990626572671,0,0,2,2
180,32,180,1.5829315516347648,0,62.524296854861916,0,0,2,2
181,33,181,1.6322288586012852,0,20.285083740560868,0,0,2,2
182,34,182,1.6329212634616692,0,1444.2417395010484,0,0,2,2
183,35,183,1.6673364978171203,0,29.056899327538854,0,0,2,2
184,36,184,1.6862757867580598,0,52.80029272051422,0,0,2,2
185,37,185,1.6891487419745295,0,348.07364704724125,0,0,2,2
186,38,186,1.7018041672795239,0,79.01749454483792,0,0,2,2
187,39,187,1.7108091709772457,0,111.04937139037362,0,0,2,2
188,40,188,1.7345687381458432,0,42.08830880226126,0,0,2,2
189,41,189,1.7305636438126462,0,-249.6820091630026,0,0,2,2
190,42,190,1.7299747389453977,0,-1698.0671337838278,0,0,2,2
191,43,191,1.7584983139980177,0,35.058718907262104,0,0,2,2
192,44,192,1.7234270059276158,0,-28.51333625745028,0,0,2,2
193,45,193,1.7234270059276153,0,-2251799813685248.0,0,0,2,2
194,46,194,1.7234270059276229,0,132458812569720.47,0,0,2,2
195,47,195,1.7234270059276153,0,-132458812569720.47,0,0,2,2
196,48,196,1.7234270059276158,0,2251799813685248.0,0,0,2,2
197,49,197,1.7234270059276158,0,90000000000,0,0,2,2
198,50,198,1.7234270059276158,0,90000000000,0,0,2,2
199,51,199,1.7234270059276218,0,166799986198907.25,0,0,2,2
200,52,200,1.7234270059276158,0,-166799986198907.25,0,0,2,2
201,53,201,1.7234270059276158,0,90000000000,0,0,2,2
202,54,202,1.7234270059276158,0,90000000000,0,0,2,2
203,55,203,1.7234270059276158,0,90000000000,0,0,2,2
204,56,204,1.7234270059276218,0,166799986198907.25,0,0,2,2
205,57,205,1.7234270059276169,0,-204709073971386.2,0,0,2,2
206,58,206,1.7234270059276149,0,-500399958596721.75,0,0,2,2
207,59,207,1.7234270059276158,0,1125899906842624.0,0,0,2,2
208,60,208,1.7234270059276158,0,90000000000,0,0,2,2
209,61,209,1.7234270059276218,0,166799986198907.25,0,0,2,2
210,62,210,1.7234270059276169,0,-204709073971386.2,0,0,2,2
211,63,211,1.7234270059276149,0,-500399958596721.75,0,0,2,2
212,64,212,1.7234270059276158,0,1125899906842624.0,0,0,2,2
213,65,213,1.7234270059276158,0,90000000000,0,0,2,2
214,66,214,1.7234270059276218,0,166799986198907.25,0,0,2,2
215,67,215,1.7234270059276169,0,-204709073971386.2,0,0,2,2
216,68,216,1.7234270059276149,0,-500399958596721.75,0,0,2,2
217,69,217,1.7234270059276158,0,1125899906842624.0,0,0,2,2
218,70,218,1.7234270059276158,0,90000000000,0,0,2,2
219,71,219,1.7234270059276229,0,140737488355328.0,0,0,2,2
220,72,220,1.7234270059276158,0,-140737488355328.0,0,0,2,2
221,73,221,1.7234270059276149,0,-1125899906842624.0,0,0,2,2
222,74,222,1.7234270059276158,0,1125899906842624.0,0,0,2,2
223,75,223,1.7234270059276158,0,90000000000,0,0,2,2
224,76,224,1.7234270059276229,0,140737488355328.0,0,0,2,2
225,77,225,1.7234270059276158,0,-140737488355328.0,0,0,2,2
226,78,226,1.7234270059276149,0,-1125899906842624.0,0,0,2,2
227,79,227,1.7234270059276149,0,90000000000,0,0,2,2
228,80,228,1.7234270059276169,0,500399958596721.75,0,0,2,2
229,81,229,1.7234270059276204,0,281474976710656.0,0,0,2,2
230,82,230,1.7234270059276182,0,-450359962737049.6,0,0,2,2
231,83,231,1.7234270059276149,0,-300239975158033.06,0,0,2,2
232,84,232,1.7492250201492552,0,38.76267341387711,0,0,2,2
233,85,233,1.7265975409286725,0,-44.19405229595199,0,0,2,2
234,86,234,1.7297372076287079,0,318.50514578146897,0,0,2,2
235,87,235,1.7359499818627824,0,160.95868968091756,0,0,2,2
236,88,236,1.7454327994985763,0,105.45388917165177,0,0,2,2
237,89,237,1.7581858633337555,0,78.41252995546947,0,0,2,2
238,90,238,1.7742094461226856,0,62.40801530921343,0,0,2,2
239,91,239,1.7935038905997396,0,51.82839035294619,0,0,2,2
240,92,240,1.8160696095086326,0,44.31500738077108,0,0,2,2
241,93,241,1.8419070856377262,0,38.70347068744756,0,0,2,2
242,94,242,1.8710168718614137,0,34.35270847802616,0,0,2,2
