PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,8.29,46.74,-75.257,0,0,0,0
2,0,0,8.212,49.124,-75.228,0,0,0,0
3,0,0,8.18,50.121,-75.257,0,0,0,0
4,0,0,8.127,52.027,-75.407,0,0,0,0
5,0,0,8.068,53.766,-75.632,0,0,0,0
6,0,0,8.032,56.005,-76.108,0,0,0,0
7,0,0,-6.389,94.247,8.831,0,0,0,0
8,0,0,-6.362,94.135,7.721,0,0,0,0
9,0,0,-6.326,94.032,6.557,0,0,0,0
10,0,0,-6.302,93.917,5.374,0,0,0,0
11,0,0,-6.258,93.825,4.186,0,0,0,0
12,0,0,-6.234,93.701,3.035,0,0,0,0
13,0,0,-6.202,93.604,1.904,0,0,0,0
14,0,0,-6.174,93.512,0.902,0,0,0,0
15,0,0,-6.146,93.421,-0.099,0,0,0,0
16,0,0,-6.118,93.33,-1.101,0,0,0,0
17,0,0,-6.09,93.238,-2.103,0,0,0,0
18,0,0,-6.062,93.147,-3.105,0,0,0,0
19,0,0,-6.034,93.056,-4.107,0,0,0,0
20,0,0,-6.006,92.965,-5.109,0,0,0,0
21,0,0,-5.978,92.873,-6.111,0,0,0,0
22,0,0,-5.949,92.782,-7.113,0,0,0,0
23,0,0,-5.921,92.691,-8.115,0,0,0,0
24,0,0,-5.893,92.599,-9.117,0,0,0,0
25,0,0,-5.865,92.508,-10.119,0,0,0,0
26,0,0,-5.837,92.417,-11.121,0,0,0,0
27,0,0,-5.809,92.326,-12.123,0,0,0,0
28,0,0,-5.781,92.234,-13.125,0,0,0,0
29,0,0,-5.753,92.143,-14.127,0,0,0,0
30,0,0,-5.725,92.052,-15.129,0,0,0,0
31,0,0,-5.697,91.961,-16.131,0,0,0,0
32,0,0,-5.668,91.869,-17.133,0,0,0,0
33,0,0,-5.64,91.778,-18.135,0,0,0,0
34,0,0,-5.612,91.687,-19.137,0,0,0,0
35,0,0,-5.584,91.595,-20.139,0,0,0,0
36,0,0,-5.561,91.516,-21.192,0,0,0,0
37,0,0,-5.535,91.425,-22.227,0,0,0,0
38,0,0,-5.505,91.324,-23.245,0,0,0,0
39,0,0,-5.47,91.239,-24.263,0,0,0,0
40,0,0,-5.441,91.142,-25.273,0,0,0,0
41,0,0,-5.401,91.007,-26.465,0,0,0,0
42,0,0,-5.375,90.871,-27.447,0,0,0,0
43,0,0,-5.328,90.653,-28.59,0,0,0,0
44,0,0,-5.304,90.361,-29.694,0,0,0,0
45,0,0,-5.268,90.007,-30.772,0,0,0,0
46,0,0,-5.231,89.577,-31.784,0,0,0,0
47,0,0,-5.188,89.076,-32.756,0,0,0,0
48,0,0,-5.1690000000000005,88.477,-33.642,0,0,0,0
49,0,0,-5.146,87.747,-34.5,0,0,0,0
50,0,0,-5.132,86.905,-35.318,0,0,0,0
51,0,0,-5.127,85.885,-36.051,0,0,0,0
52,0,0,-5.119,85.004,-36.551,0,0,0,0
53,0,0,-5.1080000000000005,84.075,-36.984,0,0,0,0
54,0,0,-5.112,83.096,-37.307,0,0,0,0
55,0,0,-5.098,82.088,-37.593,0,0,0,0
56,0,0,-5.091,81.077,-37.777,0,0,0,0
57,0,0,-5.103,80.076,-37.863,0,0,0,0
58,0,0,-5.103,79.063,-37.888,0,0,0,0
59,0,0,-5.11,78.047,-37.834,0,0,0,0
60,0,0,-5.122,77.03,-37.744,0,0,0,0
61,0,0,-5.129,76.042,-37.544,0,0,0,0
62,0,0,-5.145,75.032,-37.35,0,0,0,0
63,0,0,-5.17,74.029,-37.108,0,0,0,0
64,0,0,-5.17,73.017,-36.849,0,0,0,0
65,0,0,-5.188,71.982,-36.606,0,0,0,0
66,0,0,-5.2059999999999995,70.942,-36.34,0,0,0,0
67,0,0,-5.22,69.905,-36.075,0,0,0,0
68,0,0,-5.244,68.862,-35.812,0,0,0,0
69,0,0,-5.266,67.802,-35.569,0,0,0,0
70,0,0,-5.277,66.742,-35.304,0,0,0,0
