PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,8.29,43.559,-64.261,0,0,0,0
2,0,0,8.212,45.943,-64.232,0,0,0,0
3,0,0,8.18,46.94,-64.261,0,0,0,0
4,0,0,8.127,48.846,-64.411,0,0,0,0
5,0,0,8.068,50.585,-64.636,0,0,0,0
6,0,0,8.032,52.824,-65.112,0,0,0,0
7,0,0,-7.163,1.444,14.749,0,0,0,0
8,0,0,-7.192,1.525,15.747,0,0,0,0
9,0,0,-7.221,1.606,16.746,0,0,0,0
10,0,0,-7.249,1.688,17.744,0,0,0,0
11,0,0,-7.2780000000000005,1.769,18.742,0,0,0,0
12,0,0,-7.307,1.851,19.74,0,0,0,0
13,0,0,-7.335,1.932,20.738,0,0,0,0
14,0,0,-7.364,2.013,21.737,0,0,0,0
15,0,0,-7.393,2.095,22.735,0,0,0,0
16,0,0,-7.421,2.176,23.733,0,0,0,0
17,0,0,-7.45,2.258,24.731,0,0,0,0
18,0,0,-7.478,2.339,25.729,0,0,0,0
19,0,0,-7.507,2.42,26.728,0,0,0,0
20,0,0,-7.531,2.577,27.837,0,0,0,0
21,0,0,-7.572,2.771,28.925,0,0,0,0
22,0,0,-7.596,2.973,29.96,0,0,0,0
23,0,0,-7.62,3.271,30.958,0,0,0,0
24,0,0,-7.6579999999999995,3.659,32.073,0,0,0,0
25,0,0,-7.705,4.115,33.118,0,0,0,0
26,0,0,-7.7219999999999995,4.674,34.099,0,0,0,0
27,0,0,-7.772,5.307,34.964,0,0,0,0
28,0,0,-7.792,6.008,35.775,0,0,0,0
29,0,0,-7.818,6.768,36.495,0,0,0,0
30,0,0,-7.8420000000000005,7.65,37.188,0,0,0,0
31,0,0,-7.878,8.52,37.718,0,0,0,0
32,0,0,-7.883,9.433,38.196,0,0,0,0
33,0,0,-7.904,10.359,38.579,0,0,0,0
34,0,0,-7.905,11.473,38.923,0,0,0,0
35,0,0,-7.916,12.495,39.128,0,0,0,0
36,0,0,-7.92,13.559,39.267,0,0,0,0
37,0,0,-7.925,14.676,39.343,0,0,0,0
38,0,0,-7.905,15.862,39.348,0,0,0,0
39,0,0,-7.91,16.864,39.335,0,0,0,0
40,0,0,-7.9,17.898,39.272,0,0,0,0
41,0,0,-7.896,18.979,39.205,0,0,0,0
42,0,0,-7.891,20.049,39.101,0,0,0,0
43,0,0,-7.882,21.145,38.974,0,0,0,0
44,0,0,-7.866,22.228,38.845,0,0,0,0
45,0,0,-7.849,23.272,38.708,0,0,0,0
46,0,0,-7.838,24.27,38.567,0,0,0,0
47,0,0,-7.813,25.476,38.368,0,0,0,0
48,0,0,-7.791,26.631,38.181,0,0,0,0
49,0,0,-7.782,27.724,38.006,0,0,0,0
50,0,0,-7.777,28.821,37.798,0,0,0,0
51,0,0,-7.765,29.822,37.644,0,0,0,0
52,0,0,-7.753,30.824,37.49,0,0,0,0
53,0,0,-7.74,31.825,37.335,0,0,0,0
54,0,0,-7.728,32.826,37.181,0,0,0,0
55,0,0,-7.715,33.828,37.027,0,0,0,0
56,0,0,-7.703,34.829,36.873,0,0,0,0
57,0,0,-7.691,35.831,36.719,0,0,0,0
58,0,0,-7.678,36.832,36.565,0,0,0,0
59,0,0,-7.666,37.834,36.411,0,0,0,0
60,0,0,-7.654,38.835,36.257,0,0,0,0
61,0,0,-7.641,39.836,36.103,0,0,0,0
62,0,0,-7.629,40.838,35.949,0,0,0,0
63,0,0,-7.617,41.839,35.795,0,0,0,0
64,0,0,-7.604,42.841,35.641,0,0,0,0
65,0,0,-7.5920000000000005,43.842,35.487,0,0,0,0
66,0,0,-7.579,44.843,35.333,0,0,0,0
67,0,0,-7.567,45.845,35.179,0,0,0,0
68,0,0,-7.555,46.846,35.025,0,0,0,0
69,0,0,-7.542,47.848,34.871,0,0,0,0
70,0,0,-7.53,48.849,34.717,0,0,0,0
71,0,0,-7.518,49.851,34.563,0,0,0,0
72,0,0,-7.505,50.852,34.409,0,0,0,0
73,0,0,-7.493,51.853,34.255,0,0,0,0
74,0,0,-7.48,52.855,34.101,0,0,0,0
75,0,0,-7.468,53.856,33.946,0,0,0,0
76,0,0,-7.4559999999999995,54.858,33.792,0,0,0,0
77,0,0,-7.443,55.859,33.638,0,0,0,0
78,0,0,-7.431,56.86,33.484,0,0,0,0
79,0,0,-7.4190000000000005,57.862,33.33,0,0,0,0
80,0,0,-7.406,58.863,33.176,0,0,0,0
81,0,0,-7.394,59.865,33.022,0,0,0,0
82,0,0,-7.381,60.866,32.868,0,0,0,0
83,0,0,-7.369,61.867,32.714,0,0,0,0
84,0,0,-7.357,62.869,32.56,0,0,0,0
85,0,0,-7.344,63.87,32.406,0,0,0,0
86,0,0,-7.332,64.872,32.252,0,0,0,0
87,0,0,-7.32,65.873,32.098,0,0,0,0
88,0,0,-7.307,66.875,31.944,0,0,0,0
89,0,0,-7.295,67.876,31.79,0,0,0,0
90,0,0,-7.282,68.877,31.636,0,0,0,0
91,0,0,-7.274,69.859,31.459,0,0,0,0
92,0,0,-7.252,71.014,31.279,0,0,0,0
93,0,0,-7.243,72.15,31.09,0,0,0,0
94,0,0,-7.232,73.284,30.886,0,0,0,0
95,0,0,-7.219,74.44,30.684,0,0,0,0
96,0,0,-7.201,75.591,30.482,0,0,0,0
97,0,0,-7.18,76.755,30.304,0,0,0,0
98,0,0,-7.174,77.737,30.153,0,0,0,0
99,0,0,-7.159,78.728,30.018,0,0,0,0
100,0,0,-7.149,79.726,29.902,0,0,0,0
101,0,0,-7.142,80.767,29.804,0,0,0,0
102,0,0,-7.127,81.826,29.739,0,0,0,0
103,0,0,-7.125,82.886,29.681,0,0,0,0
104,0,0,-7.124,83.962,29.657,0,0,0,0
105,0,0,-7.114,85.052,29.662,0,0,0,0
106,0,0,-7.085,86.058,29.665,0,0,0,0
107,0,0,-7.059,87.058,29.655,0,0,0,0
108,0,0,-7.033,88.058,29.619,0,0,0,0
109,0,0,-7.007,89.055,29.542,0,0,0,0
110,0,0,-6.981,90.046,29.411,0,0,0,0
111,0,0,-6.955,91.026,29.212,0,0,0,0
112,0,0,-6.929,91.985,28.933,0,0,0,0
113,0,0,-6.9030000000000005,92.913,28.561,0,0,0,0
114,0,0,-6.877,93.79,28.082,0,0,0,0
115,0,0,-6.851,94.588,27.48,0,0,0,0
116,0,0,-6.825,95.27,26.751,0,0,0,0
117,0,0,-6.799,95.795,25.902,0,0,0,0
118,0,0,-6.772,96.117,24.958,0,0,0,0
119,0,0,-6.746,96.192,23.964,0,0,0,0
120,0,0,-6.697,95.934,22.41,0,0,0,0
121,0,0,-6.661,95.74,21.264,0,0,0,0
122,0,0,-6.648,95.56,20.124,0,0,0,0
123,0,0,-6.633,95.421,19.112,0,0,0,0
124,0,0,-6.587,95.265,18.033,0,0,0,0
125,0,0,-6.565,95.143,16.945,0,0,0,0
126,0,0,-6.539,95.047,15.933,0,0,0,0
127,0,0,-6.513,94.95,14.922,0,0,0,0
128,0,0,-6.487,94.854,13.911,0,0,0,0
129,0,0,-6.461,94.758,12.9,0,0,0,0
