PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,-22.661,-33.143,1427.684,0,0,0,0
2,0,0,-22.644,-33.407,1426.256,0,0,0,0
3,0,0,-22.607,-33.968,1423.212,0,0,0,0
4,0,0,-22.578,-34.401,1420.864,0,0,0,0
5,0,0,-22.54,-34.978,1417.73,0,0,0,0
6,0,0,-22.513,-35.382,1415.541,0,0,0,0
7,0,0,-22.5,-35.549,1414.503,0,0,0,0
8,0,0,-22.482,-35.779,1413.077,0,0,0,0
9,0,0,-22.448,-36.221,1410.327,0,0,0,0
10,0,0,-22.434,-36.399,1409.224,0,0,0,0
11,0,0,-22.416,-36.635,1407.755,0,0,0,0
12,0,0,-22.377,-37.138,1404.632,0,0,0,0
13,0,0,-22.336,-37.67,1401.334,0,0,0,0
14,0,0,-22.292,-38.227,1397.87,0,0,0,0
15,0,0,-22.255,-38.706,1394.897,0,0,0,0
16,0,0,-22.232,-39.003,1393.05,0,0,0,0
17,0,0,-22.219,-39.134,1392.018,0,0,0,0
18,0,0,-22.191,-39.402,1389.906,0,0,0,0
19,0,0,-22.168,-39.629,1388.117,0,0,0,0
20,0,0,-22.146,-39.843,1386.432,0,0,0,0
21,0,0,-22.124,-40.056,1384.747,0,0,0,0
22,0,0,-22.1,-40.294,1382.879,0,0,0,0
23,0,0,-22.076,-40.53,1381.01,0,0,0,0
24,0,0,-22.044,-40.837,1378.595,0,0,0,0
25,0,0,-22.021,-40.973,1376.896,0,0,0,0
26,0,0,-21.993,-41.139,1374.802,0,0,0,0
27,0,0,-21.967,-41.29,1372.91,0,0,0,0
28,0,0,-21.945,-41.42,1371.276,0,0,0,0
29,0,0,-21.906,-41.643,1368.459,0,0,0,0
30,0,0,-21.891,-41.733,1367.327,0,0,0,0
31,0,0,-21.864,-41.889,1365.367,0,0,0,0
32,0,0,-21.843,-41.932,1363.943,0,0,0,0
33,0,0,-21.823,-41.974,1362.523,0,0,0,0
34,0,0,-21.802,-42.09,1360.974,0,0,0,0
35,0,0,-21.781,-42.321,1359.329,0,0,0,0
36,0,0,-21.768,-42.622,1358.193,0,0,0,0
37,0,0,-21.759,-43.123,1357.106,0,0,0,0
38,0,0,-21.758,-44.137,1356.081,0,0,0,0
39,0,0,-21.758,-45.139,1355.111,0,0,0,0
40,0,0,-21.764,-46.551,1354.127,0,0,0,0
41,0,0,-21.77,-47.67,1353.497,0,0,0,0
42,0,0,-21.779,-48.648,1353.157,0,0,0,0
43,0,0,-21.791,-49.768,1352.913,0,0,0,0
44,0,0,-21.806,-50.867,1352.877,0,0,0,0
45,0,0,-21.826,-52.183,1352.945,0,0,0,0
46,0,0,-21.853,-53.917,1353.124,0,0,0,0
47,0,0,-21.875,-55.138,1353.41,0,0,0,0
48,0,0,-21.893,-56.127,1353.664,0,0,0,0
49,0,0,-21.913,-57.283,1353.961,0,0,0,0
50,0,0,-21.955,-59.8,1354.384,0,0,0,0
51,0,0,-21.972,-60.789,1354.555,0,0,0,0
52,0,0,-21.988,-61.777,1354.725,0,0,0,0
53,0,0,-22.005,-62.766,1354.896,0,0,0,0
54,0,0,-22.021,-63.755,1355.067,0,0,0,0
55,0,0,-22.038,-64.744,1355.237,0,0,0,0
56,0,0,-22.054,-65.733,1355.408,0,0,0,0
57,0,0,-22.071,-66.722,1355.579,0,0,0,0
58,0,0,-22.088,-67.711,1355.749,0,0,0,0
59,0,0,-22.104,-68.699,1355.92,0,0,0,0
60,0,0,-22.121,-69.688,1356.09,0,0,0,0
61,0,0,-22.137,-70.677,1356.261,0,0,0,0
62,0,0,-22.154,-71.666,1356.432,0,0,0,0
63,0,0,-22.17,-72.655,1356.602,0,0,0,0
64,0,0,-22.187,-73.644,1356.773,0,0,0,0
65,0,0,-22.203,-74.633,1356.944,0,0,0,0
66,0,0,-22.22,-75.621,1357.114,0,0,0,0
67,0,0,-22.236,-76.61,1357.285,0,0,0,0
68,0,0,-22.253,-77.599,1357.455,0,0,0,0
69,0,0,-22.269,-78.588,1357.626,0,0,0,0
70,0,0,-22.286,-79.577,1357.797,0,0,0,0
