PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10001,0,0,2.766,-232.196,284.493,0,0,0,0
10002,0,0,2.819,-231.363,282.424,0,0,0,0
10003,0,0,2.881,-230.244,279.649,0,0,0,0
10004,0,0,2.88,-228.945,276.945,0,0,0,0
10005,0,0,2.875,-227.65,274.251,0,0,0,0
10006,0,0,2.423,-226.062,271.037,0,0,0,0
10007,0,0,2.423,-224.743,268.365,0,0,0,0
10008,0,0,2.423,-223.105,265.317,0,0,0,0
10009,0,0,2.423,-221.692,262.696,0,0,0,0
10010,0,0,2.423,-220.689,260.834,0,0,0,0
10011,0,0,2.404,-219.27,258.202,0,0,0,0
10012,0,0,2.374,-217.709,255.367,0,0,0,0
10013,0,0,2.36,-216.261,252.735,0,0,0,0
10014,0,0,2.335,-215.455,251.394,0,0,0,0
10015,0,0,2.31,-214.82,250.316,0,0,0,0
10016,0,0,2.293,-213.905,248.687,0,0,0,0
10017,0,0,2.282,-213.409,247.805,0,0,0,0
10018,0,0,2.271,-212.913,246.924,0,0,0,0
10019,0,0,2.26,-212.417,246.043,0,0,0,0
10020,0,0,2.249,-211.921,245.161,0,0,0,0
10021,0,0,2.238,-211.425,244.28,0,0,0,0
10022,0,0,2.227,-210.929,243.399,0,0,0,0
10023,0,0,2.216,-210.433,242.517,0,0,0,0
10024,0,0,2.205,-209.938,241.636,0,0,0,0
10025,0,0,2.194,-209.442,240.755,0,0,0,0
10026,0,0,2.183,-208.946,239.874,0,0,0,0
10027,0,0,2.172,-208.45,238.992,0,0,0,0
10028,0,0,2.161,-207.954,238.111,0,0,0,0
10029,0,0,2.15,-207.458,237.23,0,0,0,0
10030,0,0,2.139,-206.962,236.348,0,0,0,0
10031,0,0,2.128,-206.467,235.467,0,0,0,0
10032,0,0,2.117,-205.971,234.586,0,0,0,0
10033,0,0,2.106,-205.475,233.704,0,0,0,0
10034,0,0,2.095,-204.979,232.823,0,0,0,0
10035,0,0,2.084,-204.483,231.942,0,0,0,0
10036,0,0,2.073,-203.987,231.061,0,0,0,0
10037,0,0,2.062,-203.491,230.179,0,0,0,0
10038,0,0,2.051,-202.995,229.298,0,0,0,0
10039,0,0,2.04,-202.5,228.417,0,0,0,0
10040,0,0,2.029,-202.004,227.535,0,0,0,0
10041,0,0,2.018,-201.508,226.654,0,0,0,0
10042,0,0,2.007,-201.012,225.773,0,0,0,0
10043,0,0,1.996,-200.516,224.891,0,0,0,0
10044,0,0,1.985,-200.02,224.01,0,0,0,0
10045,0,0,1.974,-199.524,223.129,0,0,0,0
10046,0,0,1.963,-199.029,222.248,0,0,0,0
10047,0,0,1.952,-198.533,221.366,0,0,0,0
10048,0,0,1.941,-198.037,220.485,0,0,0,0
10049,0,0,1.93,-197.541,219.604,0,0,0,0
10050,0,0,1.919,-197.045,218.722,0,0,0,0
10051,0,0,1.908,-196.549,217.841,0,0,0,0
10052,0,0,1.897,-196.053,216.96,0,0,0,0
10053,0,0,1.886,-195.557,216.078,0,0,0,0
10054,0,0,1.875,-195.062,215.197,0,0,0,0
10055,0,0,1.864,-194.566,214.316,0,0,0,0
10056,0,0,1.853,-194.07,213.435,0,0,0,0
10057,0,0,1.842,-193.574,212.553,0,0,0,0
10058,0,0,1.831,-193.078,211.672,0,0,0,0
10059,0,0,1.82,-192.582,210.791,0,0,0,0
10060,0,0,1.809,-192.086,209.909,0,0,0,0
10061,0,0,1.798,-191.591,209.028,0,0,0,0
10062,0,0,1.787,-191.095,208.147,0,0,0,0
10063,0,0,1.776,-190.599,207.265,0,0,0,0
10064,0,0,1.765,-190.103,206.384,0,0,0,0
10065,0,0,1.754,-189.607,205.503,0,0,0,0
10066,0,0,1.743,-189.111,204.622,0,0,0,0
10067,0,0,1.732,-188.615,203.74,0,0,0,0
10068,0,0,1.721,-188.119,202.859,0,0,0,0
10069,0,0,1.71,-187.624,201.978,0,0,0,0
10070,0,0,1.699,-187.128,201.096,0,0,0,0
10071,0,0,1.688,-186.632,200.215,0,0,0,0
10072,0,0,1.677,-186.136,199.334,0,0,0,0
10073,0,0,1.666,-185.64,198.452,0,0,0,0
10074,0,0,1.655,-185.144,197.571,0,0,0,0
10075,0,0,1.644,-184.648,196.69,0,0,0,0
10076,0,0,1.633,-184.153,195.809,0,0,0,0
10077,0,0,1.622,-183.657,194.927,0,0,0,0
10078,0,0,1.611,-183.161,194.046,0,0,0,0
10079,0,0,1.6,-182.665,193.165,0,0,0,0
10080,0,0,1.589,-182.169,192.283,0,0,0,0
10081,0,0,1.578,-181.673,191.402,0,0,0,0
10082,0,0,1.567,-181.177,190.521,0,0,0,0
10083,0,0,1.556,-180.682,189.64,0,0,0,0
10084,0,0,1.54,-180.045,188.655,0,0,0,0
10085,0,0,1.518,-179.409,187.67,0,0,0,0
10086,0,0,1.502,-178.772,186.685,0,0,0,0
10087,0,0,1.566,-178.136,185.7,0,0,0,0
10088,0,0,1.48,-177.5,184.715,0,0,0,0
10089,0,0,1.478,-177.004,183.833,0,0,0,0
10090,0,0,1.455,-176.508,182.952,0,0,0,0
10091,0,0,1.443,-176.012,182.071,0,0,0,0
10092,0,0,1.474,-175.517,181.19,0,0,0,0
10093,0,0,1.461,-175.021,180.308,0,0,0,0
10094,0,0,1.424,-174.525,179.427,0,0,0,0
10095,0,0,1.328,-174.029,178.546,0,0,0,0
10096,0,0,1.408,-173.534,177.665,0,0,0,0
10097,0,0,1.44,-172.759,176.399,0,0,0,0
10098,0,0,1.394,-171.852,174.906,0,0,0,0
10099,0,0,1.391,-170.955,173.346,0,0,0,0
10100,0,0,1.368,-170.14,171.741,0,0,0,0
10101,0,0,1.35,-169.456,170.077,0,0,0,0
10102,0,0,1.354,-168.954,168.349,0,0,0,0
10103,0,0,1.291,-168.688,166.571,0,0,0,0
10104,0,0,1.343,-168.714,164.773,0,0,0,0
10105,0,0,1.324,-169.078,163.013,0,0,0,0
10106,0,0,1.308,-169.769,161.354,0,0,0,0
10107,0,0,1.285,-170.728,159.833,0,0,0,0
10108,0,0,1.311,-171.896,158.465,0,0,0,0
10109,0,0,1.336,-173.218,157.244,0,0,0,0
10110,0,0,1.335,-174.65,156.155,0,0,0,0
10111,0,0,1.352,-176.155,155.169,0,0,0,0
10112,0,0,1.373,-177.803,154.213,0,0,0,0
10113,0,0,1.379,-178.7,153.708,0,0,0,0
10114,0,0,1.386,-179.598,153.204,0,0,0,0
10115,0,0,1.392,-180.495,152.699,0,0,0,0
10116,0,0,1.399,-181.393,152.195,0,0,0,0
10117,0,0,1.405,-182.29,151.69,0,0,0,0
10118,0,0,1.412,-183.188,151.185,0,0,0,0
10119,0,0,1.418,-184.085,150.681,0,0,0,0
10120,0,0,1.425,-184.983,150.177,0,0,0,0
10121,0,0,1.431,-185.88,149.672,0,0,0,0
10122,0,0,1.438,-186.778,149.168,0,0,0,0
10123,0,0,1.444,-187.676,148.663,0,0,0,0
10124,0,0,1.451,-188.573,148.159,0,0,0,0
10125,0,0,1.457,-189.471,147.654,0,0,0,0
10126,0,0,1.464,-190.368,147.149,0,0,0,0
10127,0,0,1.47,-191.266,146.645,0,0,0,0
10128,0,0,1.477,-192.163,146.141,0,0,0,0
10129,0,0,1.483,-193.061,145.636,0,0,0,0
10130,0,0,1.49,-193.958,145.132,0,0,0,0
10131,0,0,1.496,-194.856,144.627,0,0,0,0
10132,0,0,1.503,-195.754,144.123,0,0,0,0
10133,0,0,1.451,-196.607,143.601,0,0,0,0
10134,0,0,1.48,-197.444,143.054,0,0,0,0
10135,0,0,1.442,-198.261,142.478,0,0,0,0
10136,0,0,1.469,-199.054,141.868,0,0,0,0
10137,0,0,1.486,-199.814,141.219,0,0,0,0
10138,0,0,1.489,-200.536,140.528,0,0,0,0
10139,0,0,1.505,-201.213,139.791,0,0,0,0
10140,0,0,1.509,-201.834,139.008,0,0,0,0
10141,0,0,1.505,-202.392,138.179,0,0,0,0
10142,0,0,1.505,-202.877,137.304,0,0,0,0
10143,0,0,1.506,-203.277,136.388,0,0,0,0
10144,0,0,1.49,-203.584,135.437,0,0,0,0
10145,0,0,1.486,-203.798,134.461,0,0,0,0
10146,0,0,1.483,-203.922,133.469,0,0,0,0
10147,0,0,1.492,-203.962,132.47,0,0,0,0
10148,0,0,1.465,-203.923,131.471,0,0,0,0
10149,0,0,1.472,-203.814,130.477,0,0,0,0
10150,0,0,1.445,-203.64,129.491,0,0,0,0
